GEO_ID_2,GEO_ID,MSA,POP_M_15_19,PER_M_15_19_MAR,PER_M_15_19_WID,PER_M_15_19_DIV,PER_M_15_19_SEP,PER_M_15_19_UNMAR,POP_M_20_34,PER_M_20_34_MAR,PER_M_20_34_WID,PER_M_20_34_DIV,PER_M_20_34_SEP,PER_M_20_34_UNMAR,POP_M_35_44,PER_M_35_44_MAR,PER_M_35_44_WID,PER_M_35_44_DIV,PER_M_35_44_SEP,PER_M_35_44_UNMAR,POP_M_45_54,PER_M_45_54_MAR,PER_M_45_54_WID,PER_M_45_54_DIV,PER_M_45_54_SEP,PER_M_45_54_UNMAR,POP_M_55_64,PER_M_55_64_MAR,PER_M_55_64_WID,PER_M_55_64_DIV,PER_M_55_64_SEP,PER_M_55_64_UNMAR,POP_M_65_OVER,PER_M_65_OVER_MAR,PER_M_65_OVER_WID,PER_M_65_OVER_DIV,PER_M_65_OVER_SEP,PER_M_65_OVER_UNMAR,POP_F_15_19,PER_F_15_19_MAR,PER_F_15_19_WID,PER_F_15_19_DIV,PER_F_15_19_SEP,PER_F_15_19_UNMAR,POP_F_20_34,PER_F_20_34_MAR,PER_F_20_34_WID,PER_F_20_34_DIV,PER_F_20_34_SEP,PER_F_20_34_UNMAR,POP_F_35_44,PER_F_35_44_MAR,PER_F_35_44_WID,PER_F_35_44_DIV,PER_F_35_44_SEP,PER_F_35_44_UNMAR,POP_F_45_54,PER_F_45_54_MAR,PER_F_45_54_WID,PER_F_45_54_DIV,PER_F_45_54_SEP,PER_F_45_54_UNMAR,POP_F_55_64,PER_F_55_64_MAR,PER_F_55_64_WID,PER_F_55_64_DIV,PER_F_55_64_SEP,PER_F_55_64_UNMAR,POP_F_65_OVER,PER_F_65_OVER_MAR,PER_F_65_OVER_WID,PER_F_65_OVER_DIV,PER_F_65_OVER_SEP,PER_F_65_OVER_UNMAR
46700,310M100US46700,"Vallejo-Fairfield, CA Metro Area",16142,0.6,0.2,0,0.1,99.1,43065,33.1,0.2,3.2,1.3,62.2,28890,60.8,0.4,11.3,3.1,24.4,31560,67,1.2,14.2,2.3,15.3,23282,72,2.5,15.7,1.7,8.1,19144,71.9,13.1,10.1,1.4,3.4,15072,2.2,0,0.4,0,97.4,39464,42,0.3,4.8,2.6,50.4,28486,64.7,1,13.4,3.1,17.7,31792,62.2,4.3,19.2,4.8,9.4,23962,61.6,9.9,19.7,3,5.8,25166,40.2,42.5,13.1,1.5,2.8
47020,310M100US47020,"Victoria, TX Metro Area",4384,2.4,0,0,0.2,97.4,10111,36.7,0,5.7,2.5,55.2,7185,63.2,0.6,16.9,3.7,15.6,8194,67.8,2.4,16.8,1.9,11,6660,79.9,1.1,12.3,2.2,4.5,6936,75.9,13.3,7.7,1.4,1.6,3932,4.4,0,0,0.8,94.8,10526,39.9,1.2,8.5,5.1,45.2,7326,65.3,1.4,17.2,5.7,10.5,8130,69.6,3,18.8,4.2,4.4,6907,70.2,11.1,13.2,1.1,4.3,8641,48.7,41.8,6.3,0.3,2.9
47220,310M100US47220,"Vineland-Millville-Bridgeton, NJ Metro Area",5768,0.5,0.1,0,0,99.4,18413,23.4,0.1,3.9,1.8,70.7,12633,44.9,0.2,12.1,4.4,38.3,11301,59.5,1.9,13.7,3.5,21.4,8102,64.2,3.4,16,2.7,13.7,8029,64.3,18,10.6,1,6,5295,1.7,0,0,0,98.3,14248,33.5,0.1,3.4,2.6,60.5,10171,50.9,1.6,15.2,5.4,26.9,10600,58.6,5.1,15.3,5.1,15.8,8636,59.3,9.4,17,4,10.2,11337,32.2,51.1,8.4,1.4,6.8
47260,310M100US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",66713,1.5,0,0,0.2,98.2,191170,33.3,0.1,3.6,2.4,60.6,110457,64.7,0.3,10.5,4.5,20.1,118499,66.4,1,15.4,4.2,13,82401,73,2.7,14.2,2.8,7.3,77799,72.4,14.2,8.2,1.5,3.7,60215,2.3,0.1,0,0.2,97.3,180047,40.1,0.1,5.3,3.7,50.8,117359,61.6,1,15.8,5.5,16.2,127727,62.7,3,19.2,4.7,10.3,93001,61.2,9.3,19.6,3.4,6.5,107658,40.9,42.8,11.3,1.3,3.7
47300,310M100US47300,"Visalia-Porterville, CA Metro Area",19813,2,0.4,0.1,0,97.5,47026,40.3,0.2,3.3,1.5,54.7,27422,68.9,0.1,9.7,2.6,18.7,25298,69.6,0.6,14.8,2.8,12.3,18237,77.7,2.1,13,2,5.3,17689,70.9,14.5,9.1,1.5,4,18485,4,0.4,0,0.4,95.2,44363,48,1,5.7,3,42.3,27135,65.9,1.6,13.3,6,13.2,25637,67.4,3.2,13.9,4.2,11.3,19182,63.7,11.6,17.2,1.8,5.8,22384,42.8,42.6,10.2,1.4,3
47380,310M100US47380,"Waco, TX Metro Area",10382,0.5,0,0,0.3,99.2,25642,30.7,0.1,5.3,1.8,62,13158,65,0.2,15,2.9,16.9,14613,68.4,1.5,17.6,1.7,10.8,11033,69.4,2.4,18.5,2.2,7.5,11974,71.5,13.8,10.6,1.2,2.8,10312,1.8,0,0.1,0.2,97.9,26411,36.1,0.6,6.9,3.3,53.1,13974,65.7,1.4,17.2,4,11.7,15335,63.9,4.5,20.9,2.9,7.7,12138,59.2,10.6,21.3,2.5,6.4,16417,38.7,45,13,0.4,2.8
47580,310M100US47580,"Warner Robins, GA Metro Area",5437,0,0,0,0,100,13907,35.8,0.1,6.1,3.2,54.8,9062,62.3,0.1,14.2,3.4,20,9822,70.4,1.2,16.8,2.6,9.1,6345,74.1,2.8,16.6,1.1,5.4,5894,78.4,11.1,7.2,0.4,2.8,4922,1.4,0.2,0,0,98.3,14364,43,0.4,6.8,4,45.9,10026,64.9,1,16.1,4,14,10285,65,3.2,23.4,3.2,5.3,6988,60.3,10.7,21.1,3.5,4.5,8004,44.9,38.3,12.5,1.2,3.1
47900,310M100US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",190915,0.9,0.1,0,0.1,99,576040,29.2,0.1,2.4,1.2,67,415152,66.3,0.3,7.5,2.6,23.3,398102,69.1,0.9,11.2,3.1,15.7,279736,73.1,2.2,12.7,2.6,9.4,222461,71.2,12.2,8.8,2.2,5.6,181278,1.3,0.1,0,0,98.6,595285,35.7,0.2,3,2,59,437302,64.7,0.8,10.4,3.6,20.5,424663,62.4,2.7,15.8,3.8,15.3,309310,59,7.6,19.4,2.9,11.1,301019,38.2,40.8,13.2,1.5,6.4
47940,310M100US47940,"Waterloo-Cedar Falls, IA Metro Area",6366,0.8,0.1,0.1,0,99.1,18959,30.9,0,3,0.7,65.3,9319,67.4,0.4,11.4,1.4,19.4,11021,69.4,1.2,16.1,0.4,13,9462,79,1.5,12.2,1.1,6.1,10274,78.9,11.5,6.6,0.1,2.9,6741,2.7,0,0,0,97.3,18921,34.5,0.1,4.5,1.5,59.3,9436,69.1,0.5,13.8,1.9,14.7,11444,66.6,2.6,18.9,2.5,9.3,9765,71.4,8,13.7,1.8,5,14078,47.8,41,8.5,0.3,2.4
48140,310M100US48140,"Wausau, WI Metro Area",5039,0.3,0,0,0.1,99.6,11761,38.7,0,4.1,0.8,56.3,9428,68.9,0.1,15.2,1.2,14.6,10601,72.8,0.5,15.2,0.6,10.8,7789,79.6,1.9,13.3,0.6,4.6,8014,79.7,10.1,5.8,0.3,4.1,4575,2,0,0.2,0.2,97.6,11360,47.4,0,5.5,1.2,45.9,9146,74,1.7,11.8,3.2,9.3,10165,76.2,1.4,14.9,1.1,6.4,7718,73.7,6.4,14.8,0.5,4.6,10259,48.1,40.6,7.6,0,3.7
48300,310M100US48300,"Wenatchee-East Wenatchee, WA Metro Area",4163,2.6,0,0,0.3,97,9467,42.2,0,2.1,1.5,54.3,6502,67.4,0,12.5,3.7,16.3,7858,69.6,1,18.9,0.5,9.9,6826,73.4,2,16.4,1.6,6.6,7129,75.8,11,11.3,0.3,1.6,4016,2.6,0,0.1,0,97.3,9160,54.8,0,5.6,2,37.7,6650,68.1,1,19.6,2.3,8.9,8093,69,1.9,20.1,2.2,6.8,6701,70.3,7.9,16.8,1.1,3.9,8586,46.2,39.9,12.6,0,1.3
48540,310M100US48540,"Wheeling, WV-OH Metro Area",5101,0.6,0,0.1,0,99.3,13498,29.9,0.2,3.9,2,64,9502,58.7,0.6,15.9,2.4,22.4,11565,66.5,0.8,18.6,1.9,12.1,10121,73.4,2.1,15.8,1.2,7.3,10793,71.8,15.2,7.7,0.7,4.5,4751,0.9,0.3,0,0,98.8,11893,41.8,0.3,6.1,1.8,50,9102,63.6,0.9,17.7,5.9,11.9,11887,70,3.5,17.3,2.4,6.8,10433,67,10.6,16.8,0.7,4.9,15761,39.8,45.2,7.8,1,6.2
48620,310M100US48620,"Wichita, KS Metro Area",22532,0.6,0,0.1,0,99.4,61244,39.4,0.1,5.5,1.4,53.6,39118,66.2,0.3,17.3,2.4,13.8,44646,67.9,0.8,18.5,1.5,11.3,32233,74.1,2.8,15.2,1.5,6.4,31036,73.5,14.3,9.2,0.7,2.3,21859,1.7,0,0.2,0.1,98,60817,46.8,0.3,7.5,2.3,43.1,38731,68.2,1,16.9,3,10.8,45195,66.8,2.4,20.6,2.5,7.7,32678,66.3,8.2,19.9,1.2,4.3,41832,42.2,41.8,11.9,0.6,3.5
48660,310M100US48660,"Wichita Falls, TX Metro Area",6956,2.4,0,0,0,97.6,18304,36.6,0.1,5.9,1.4,56,9623,61.7,0.3,16,1.7,20.2,10814,62.4,1.2,18.9,3.4,14.1,7807,68.5,3.8,19.3,1.7,6.6,8463,74.6,10.9,11,0.5,2.9,5418,3.1,0,0.2,0.4,96.3,15229,45.4,0.9,9.5,3.4,40.8,8928,68.4,0.4,16.8,3.9,10.4,10318,67.3,3.3,19.1,4.4,6,8038,63,9.1,21.6,1.9,4.4,11559,44.5,41.3,11.1,0.6,2.5
48700,310M100US48700,"Williamsport, PA Metro Area",4805,0.2,0,0,0,99.8,10917,27.5,0,1.7,0.8,70,7147,66.5,0.1,14.1,2.2,17,8785,71.2,0.9,15.6,2.4,10,7249,74.6,2.1,14,2,7.4,7891,74.2,14,8.1,0.3,3.4,3948,0.8,0,0,0.2,99,10382,36.3,0.1,4.4,5.2,54,7634,61.7,1,17,3.7,16.6,9257,70,3.4,14.4,3.9,8.3,7403,68.1,7.6,17.2,1.8,5.3,10965,42.3,43.8,8.6,1,4.2
48900,310M100US48900,"Wilmington, NC Metro Area",10910,1,0,0,0.1,98.9,35352,32.2,0.1,3.4,1.2,63,23144,60.9,0.5,13,4.1,21.5,23360,65.6,1.3,15.4,4.8,12.9,23248,72.1,2,16.7,3.3,5.8,24383,75.1,12.5,8.8,1,2.6,11118,1.3,0,0.2,0.4,98.1,34798,38.6,0.2,5.6,2.5,53.1,23128,62.2,1.7,15.8,5.6,14.6,25447,63.9,3.8,20.1,5.3,6.9,26317,66.1,9.9,17.2,2.3,4.5,29791,47.9,38.6,10,0.8,2.6
49020,310M100US49020,"Winchester, VA-WV Metro Area",4379,0.4,0,0,0,99.6,11243,33.7,0.5,4,1.5,60.2,9339,63.6,0.5,14.1,4.2,17.5,9907,68,0.8,15.3,2,13.9,7325,69.2,1.8,19.1,1.7,8.2,7384,68.2,16.3,7.7,0.8,7,3925,1.9,0,0,0,98.1,11448,40.3,1.4,5.8,2.6,50,9309,69.1,0.1,15.2,3.7,12,9374,65.1,2.8,20.7,3.3,8.1,7567,66.9,10,16.5,1.6,5.1,9013,47.5,39.7,9.5,0.3,3.1
49180,310M100US49180,"Winston-Salem, NC Metro Area",16719,0.7,0,0,0.1,99.2,41236,36.8,0,2.8,1.2,59.1,32566,64.7,0.5,11.4,4.3,19.2,33661,68.1,1.3,14.8,3.3,12.5,26174,73.4,1.8,14.7,3.8,6.4,26160,75.5,11.2,8.2,1.2,3.8,16381,2.8,0,0.1,0.1,97,45097,39.5,0.3,4.6,4.5,51.1,34464,64.3,1,13.2,5.8,15.7,36508,62.4,3.7,18.3,4.3,11.2,29284,62.2,8.4,20.1,2.7,6.7,37102,42.2,42.6,10.1,1,4
49340,310M100US49340,"Worcester, MA Metro Area",30714,0.3,0.1,0.2,0.1,99.2,72231,28.3,0.1,2.8,0.9,67.9,58643,67.2,0.4,9.2,2.1,21.1,63457,69.8,0.7,13.7,2.5,13.4,44083,71,2,15.1,1.6,10.3,41448,67.7,15.9,8.5,1,7,28769,0.8,0,0.1,0,99,71216,37.4,0.2,3.7,2,56.8,60440,68.2,0.9,12.8,3.4,14.7,63428,67.1,2.6,18.1,2.7,9.5,45219,62.7,8.2,18.3,2.1,8.7,58133,38.9,42.8,11.1,1,6.1
49420,310M100US49420,"Yakima, WA Metro Area",10366,0.2,0,0,0.2,99.6,23615,36,0,3.4,1.4,59.1,15081,63.1,0.3,10.9,3.2,22.4,15067,67.1,1,17,3.1,11.8,11755,70.1,2.3,18.4,1.9,7.5,11909,70.8,12.5,10.4,1.8,4.6,9321,3.4,0,0,0.8,95.7,22988,43.1,0.8,6.2,4.2,45.7,14746,65.3,1.8,15.5,3.8,13.6,14899,63,3.6,19,5.2,9.1,12057,64.5,9.5,17.3,1.6,7.1,15103,43.3,43.4,10.4,0.8,2.1
49620,310M100US49620,"York-Hanover, PA Metro Area",15107,0.5,0.3,0,0.2,99,36946,37.8,0.3,4.3,1.3,56.4,31269,66.6,0.4,12.7,2.9,17.4,33790,72.6,0.8,13.5,2.9,10.2,25650,77.9,1.7,13.5,1.4,5.6,25489,75.6,12.4,8,0.6,3.3,14169,1.2,0,0.2,0.1,98.5,36998,45.7,0.1,5,2.7,46.5,31389,68,0.9,14.6,4.9,11.6,34169,70.1,2.2,16.5,3.5,7.7,26695,71,7.5,15.2,1.9,4.4,33128,46.1,40.9,9.4,0.4,3.2
49660,310M100US49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",20753,0.5,0.2,0.2,0,99.2,47445,30,0,3.4,1.1,65.5,35850,59.6,0.3,14.3,2.1,23.7,43536,62.4,1,20,2.5,14.2,36552,71.1,2.7,17.3,1.7,7.3,41335,70.4,15.7,9,0.9,4,19172,0.5,0,0,0,99.4,46168,35.1,0.3,5.5,3.3,55.7,35891,61.4,1.3,18.4,4.7,14.2,45437,62.2,4.2,20.6,2.4,10.6,38972,63.8,8.9,19.1,1.2,7,58528,39.8,45.7,9.9,0.5,4.2
49700,310M100US49700,"Yuba City, CA Metro Area",6710,0.8,0,0,0,99.2,17663,42.4,0.2,4.3,1.8,51.3,10841,66.3,0.5,14.2,1.9,17.1,10733,69.1,1.4,16,3.5,10.1,8125,72.6,2.6,18.6,1.5,4.7,8208,67.8,15.3,11.7,2,3.3,6135,2.5,0,0,0,97.5,16998,52.3,0.2,7,2.1,38.4,10532,67.5,1.9,13.2,6.1,11.4,11078,67.6,3.7,19.5,3.5,5.7,8509,61,12.7,18.4,4.5,3.5,10119,41.5,44,12.2,0.8,1.5
49740,310M100US49740,"Yuma, AZ Metro Area",8072,1.4,0,0,0,98.6,19824,43.9,0.1,6.7,1.5,47.7,11295,68.6,0.1,11.7,3,16.6,10501,74.4,1.8,12.4,3.4,7.9,8288,77.4,2.7,13.2,2.2,4.5,14769,81,8.8,7.1,1.6,1.5,7590,5.1,0,0.9,0.4,93.6,17598,55.1,0.4,5.8,4.8,33.8,11692,67,1.6,15.6,6.4,9.4,11076,68.6,3.2,14.3,5.5,8.5,9508,72,10.3,12.2,3.2,2.3,15597,59.3,30.9,6.5,0.8,2.5
