GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_INC1,HH_INC2,HH_INC3,HH_INC4,HH_INC5,HH_INC6,HH_INC7,HH_INC8,HH_INC9,HH_INC10,HH_INC11,HH_INC12,HH_INC13,HH_INC14,HH_INC15,HH_INC16
14060,310M100US14060,"Bloomington-Normal, IL Metro Area",63145,4039,3039,2886,3269,2808,3147,2779,2988,2350,5402,6822,8766,6241,3273,3427,1909
14260,310M100US14260,"Boise City-Nampa, ID Metro Area",221144,12473,11738,10776,12122,13471,13217,11851,12156,10152,22000,26158,27681,15183,8344,7508,6314
14460,310M100US14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",1735175,112412,78529,65263,65744,61144,65638,59145,66579,58963,119338,169742,232772,182411,122295,135620,139580
14500,310M100US14500,"Boulder, CO Metro Area",117629,8163,4617,4745,5134,4980,5432,5040,4966,4257,7614,11623,14248,10876,7777,8837,9320
14540,310M100US14540,"Bowling Green, KY Metro Area",46731,4529,3149,3102,2822,3140,2818,2305,2407,2233,3962,4436,5547,3120,1273,1012,876
14740,310M100US14740,"Bremerton-Silverdale, WA Metro Area",95758,5107,3058,3893,4092,4496,4736,4689,4617,4688,8852,11348,13564,8708,5512,4951,3447
14860,310M100US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",331782,16505,11506,11758,11156,11654,10475,10346,11312,9989,20925,28670,41453,33392,22551,27014,53076
15180,310M100US15180,"Brownsville-Harlingen, TX Metro Area",113547,17136,11089,10473,8403,7485,7345,6487,5176,4854,8050,8883,7521,4729,2419,1777,1720
15260,310M100US15260,"Brunswick, GA Metro Area",42933,3967,2870,2593,2214,2794,2218,2146,2175,1755,3160,4878,4943,3006,1523,1425,1266
15380,310M100US15380,"Buffalo-Niagara Falls, NY Metro Area",466232,40940,28798,27701,28129,26064,26015,22993,23736,19962,38282,47691,57445,33915,17502,15395,11664
15500,310M100US15500,"Burlington, NC Metro Area",59000,4783,4142,3871,3891,3931,3591,2619,3168,3297,5189,6409,6515,3632,1686,1207,1069
15540,310M100US15540,"Burlington-South Burlington, VT Metro Area",83140,4287,4223,3557,4034,3893,3596,3991,4141,3526,7507,9906,12344,7433,3963,3782,2957
15940,310M100US15940,"Canton-Massillon, OH Metro Area",162409,11676,9837,10647,10389,10143,10877,8999,9066,8322,13989,17713,19035,9509,4813,3936,3458
15980,310M100US15980,"Cape Coral-Fort Myers, FL Metro Area",245751,14153,12234,12802,13969,14373,14689,13517,14115,12988,22852,26021,29963,17540,8732,7657,10146
16020,310M100US16020,"Cape Girardeau-Jackson, MO-IL Metro Area",37747,3317,2912,2184,2497,2489,2294,2376,2010,1832,3500,3995,4205,1916,864,681,675
16180,310M100US16180,"Carson City, NV Metro Area",21467,1300,1242,1272,1119,1268,928,1048,1299,964,1954,2162,2832,1684,1003,925,467
16220,310M100US16220,"Casper, WY Metro Area",29597,1669,1297,1506,1639,1858,2017,1516,1503,1574,2413,3152,3808,2260,1481,1012,892
16300,310M100US16300,"Cedar Rapids, IA Metro Area",103740,5438,4674,5080,5597,5818,5945,5696,5262,5089,9093,11979,14863,8769,4547,3254,2636
16580,310M100US16580,"Champaign-Urbana, IL Metro Area",90044,9751,4934,5740,4955,4937,5181,4321,4092,3671,7308,9426,10337,6674,3256,3123,2338
16620,310M100US16620,"Charleston, WV Metro Area",125740,11245,8586,8370,8520,7506,7674,6641,7287,6130,10683,12475,13870,7205,3555,2918,3075
16700,310M100US16700,"Charleston-North Charleston-Summerville, SC Metro Area",245938,19356,12624,13098,13186,12664,13425,12510,13255,12015,21633,25636,31843,18158,9224,8732,8579
16740,310M100US16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",648431,40719,30567,32218,33774,33208,35452,31394,34060,31729,55249,70227,80597,52183,28747,28400,29907
16820,310M100US16820,"Charlottesville, VA Metro Area",77120,5963,3291,2820,3998,3403,4060,3571,3521,3535,6639,7810,10085,6824,3527,3985,4088
16860,310M100US16860,"Chattanooga, TN-GA Metro Area",206602,17130,13844,13572,14064,12907,13258,11191,10190,9307,17097,20178,23604,12299,6354,5749,5858
16940,310M100US16940,"Cheyenne, WY Metro Area",35790,1731,1685,1606,2059,1730,2077,1937,2153,1846,3242,4626,4928,2701,1506,1239,724
16980,310M100US16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",3424098,220523,144897,156101,158912,149069,157078,146371,153105,138172,271767,357830,468519,315659,194873,194991,196231
17020,310M100US17020,"Chico, CA Metro Area",85465,6075,6944,5585,6005,5919,4875,4455,4586,3482,6917,8303,9869,5515,2620,2710,1605
17140,310M100US17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",813576,59043,41272,40771,41938,40829,42725,39520,39438,34320,68163,87444,106790,68373,37189,35681,30080
17300,310M100US17300,"Clarksville, TN-KY Metro Area",97792,8547,5747,5517,5811,5750,6866,5725,5587,4597,9728,10791,11644,5533,3006,1838,1105
17420,310M100US17420,"Cleveland, TN Metro Area",43787,4128,3375,3368,2602,2786,3103,2831,2788,1776,3458,4487,4570,1896,947,892,780
17460,310M100US17460,"Cleveland-Elyria-Mentor, OH Metro Area",846121,70820,51213,48223,47821,46078,45897,42525,43429,37882,70262,86973,102030,63041,33713,29631,26583
17660,310M100US17660,"Coeur d'Alene, ID Metro Area",54560,3201,3639,3086,2912,3838,3406,3282,3186,2665,5211,5842,7123,3281,1506,1171,1211
17780,310M100US17780,"College Station-Bryan, TX Metro Area",79087,13230,5114,5851,5301,3861,3616,3725,3215,2947,5880,6490,7706,4460,2674,2787,2230
17820,310M100US17820,"Colorado Springs, CO Metro Area",236155,13599,10321,10552,12111,11378,11602,12234,11597,10460,20788,27146,31545,20754,12787,10732,8549
17860,310M100US17860,"Columbia, MO Metro Area",67276,6404,4103,3340,4736,3765,3804,3627,3516,2781,5767,7176,7733,4538,2443,1849,1694
17900,310M100US17900,"Columbia, SC Metro Area",287784,22997,14761,16802,16412,15876,17483,16251,14650,12879,24755,30422,35775,21295,11038,9091,7297
17980,310M100US17980,"Columbus, GA-AL Metro Area",109062,11141,7920,7254,7463,7322,6056,5683,5464,5048,8559,11461,11580,6208,2985,2597,2321
18020,310M100US18020,"Columbus, IN Metro Area",29856,1495,1556,1410,1669,1567,1738,1624,1582,1485,2832,3525,3938,2333,1375,940,787
18140,310M100US18140,"Columbus, OH Metro Area",700135,53529,32472,34773,36077,34950,38312,34791,34393,32957,57141,77753,87575,57293,32151,30542,25426
18580,310M100US18580,"Corpus Christi, TX Metro Area",153704,14382,10634,9694,10708,8420,9585,8063,7294,6583,12485,14858,16687,10469,5500,4573,3769
18700,310M100US18700,"Corvallis, OR Metro Area",33471,4050,1468,2129,1965,1684,1857,1410,1403,1222,2354,3208,3749,3157,1471,1168,1176
18880,310M100US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",72442,4029,2946,3337,3788,3432,3961,4201,3946,3482,6750,8738,9615,5760,3222,2631,2604
19060,310M100US19060,"Cumberland, MD-WV Metro Area",40085,4124,2694,2942,3225,3203,2621,2139,1862,1533,3444,3656,4298,2235,899,729,481
19100,310M100US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2207246,126527,95575,103830,113458,112995,114480,107163,107278,95910,185869,226432,280677,192545,115150,115070,114287
19140,310M100US19140,"Dalton, GA Metro Area",48540,3786,3567,3778,3312,3197,3235,2734,2608,2794,4917,4319,4608,2522,1172,1152,839
19180,310M100US19180,"Danville, IL Metro Area",32236,3487,2083,2323,2279,2183,1886,2123,1654,1674,2701,3578,3278,1599,586,506,296
19260,310M100US19260,"Danville, VA Metro Area",46011,5264,4288,3889,3370,2802,3365,2594,2626,2084,3570,4112,3954,2069,923,703,398
19340,310M100US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",154067,11011,8112,8966,9355,8695,9145,8713,7625,7610,13486,16473,20399,10385,5315,4601,4176
19380,310M100US19380,"Dayton, OH Metro Area",343101,29399,18443,19100,20107,19503,20753,19089,17613,15974,29387,36481,41871,24113,11992,12029,7247
19460,310M100US19460,"Decatur, AL Metro Area",59787,4945,3585,4788,3922,3538,3610,3423,3061,2801,5301,6020,6651,4284,1456,1601,801
19500,310M100US19500,"Decatur, IL Metro Area",44947,3404,2916,2744,3182,2888,2826,2366,2482,2129,3732,4373,5201,3116,1256,1171,1161
19660,310M100US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",200346,15540,12664,12659,13127,12729,12276,11776,10675,9933,18419,21220,22089,12103,5430,4858,4848
19740,310M100US19740,"Denver-Aurora-Broomfield, CO Metro Area",978799,59748,41458,41474,45342,42758,46910,44090,45377,41886,79316,102876,130670,93180,56103,56448,51163
19780,310M100US19780,"Des Moines-West Des Moines, IA Metro Area",219755,11006,9629,9631,11513,10264,11209,11072,10666,9852,19283,25391,31776,20569,10269,9475,8150
19820,310M100US19820,"Detroit-Warren-Livonia, MI Metro Area",1667113,130932,86237,86504,89964,85715,87170,81712,78495,70529,133303,168439,212086,137600,81899,76504,60024
20020,310M100US20020,"Dothan, AL Metro Area",55411,5940,4376,4140,3943,3556,3274,3182,3009,2493,4295,4807,5746,2964,1535,1268,883
20100,310M100US20100,"Dover, DE Metro Area",57396,3775,2637,3159,2574,2651,3196,3213,3117,2609,5770,6763,8102,4408,2531,1846,1045
20220,310M100US20220,"Dubuque, IA Metro Area",36787,1938,1993,2039,2182,2328,2266,2189,2125,1877,3461,4128,4938,2337,1245,761,980
20260,310M100US20260,"Duluth, MN-WI Metro Area",119423,9361,8519,7748,7466,6743,6745,6288,6296,5600,10339,13893,14280,7477,3812,2836,2020
20500,310M100US20500,"Durham-Chapel Hill, NC Metro Area",195551,16690,10163,9844,10681,10725,10897,9454,9385,8284,15630,18498,23230,15004,8997,8876,9193
20740,310M100US20740,"Eau Claire, WI Metro Area",63463,4143,4005,4439,4225,3199,3760,3009,3743,2917,5609,7235,8112,4258,2098,1555,1156
20940,310M100US20940,"El Centro, CA Metro Area",47304,4045,4568,4181,3289,3037,2827,2413,1626,2159,3611,4122,4861,2972,1384,1408,801
21060,310M100US21060,"Elizabethtown, KY Metro Area",42431,2784,2481,2753,2746,2419,2556,2364,2450,2112,3873,4497,5388,3230,1205,999,574
21140,310M100US21140,"Elkhart-Goshen, IN Metro Area",70035,4114,3608,4244,4116,4340,4364,4381,4175,3748,6658,8092,8881,4546,1709,1566,1493
21300,310M100US21300,"Elmira, NY Metro Area",35418,2582,2371,2713,2314,2399,2133,1731,1597,1754,3279,3696,3842,2272,1206,749,780
21340,310M100US21340,"El Paso, TX Metro Area",242943,28201,20564,19519,17649,16212,15484,13161,13101,10993,18697,20841,20820,12500,6325,4900,3976
21500,310M100US21500,"Erie, PA Metro Area",108252,9793,6922,7000,7152,6616,6422,5768,6013,4671,9853,11013,12623,7003,3093,2383,1927
21660,310M100US21660,"Eugene-Springfield, OR Metro Area",143894,14047,8688,9271,9865,8972,8892,7703,7763,5886,13289,14834,15740,8354,4215,3274,3101
21780,310M100US21780,"Evansville, IN-KY Metro Area",142593,11878,8590,8594,8556,8855,8236,7716,7278,5922,11931,15204,18989,9338,5056,3504,2946
21820,310M100US21820,"Fairbanks, AK Metro Area",34596,1515,1347,937,1385,1443,1886,1417,1490,1314,2711,3949,5579,4066,2447,1985,1125
22020,310M100US22020,"Fargo, ND-MN Metro Area",84600,6495,5343,4955,4498,5289,4835,4381,4082,3678,6960,9541,10740,5970,3088,2369,2376
22140,310M100US22140,"Farmington, NM Metro Area",41767,4247,2606,2442,2002,2512,2228,1993,2259,2291,3159,3837,5516,3269,1316,1253,837
22180,310M100US22180,"Fayetteville, NC Metro Area",131543,12132,7494,7456,7732,8853,8720,7627,7704,6582,10773,14499,14510,8107,4404,2915,2035
22220,310M100US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",168289,12267,9773,10457,10945,10205,10826,9768,9068,8206,15401,17372,18619,10204,5420,5268,4490
22380,310M100US22380,"Flagstaff, AZ Metro Area",45478,3830,2739,2025,2769,2157,2757,2416,2382,1866,4061,4684,5779,3751,1701,1526,1035
22420,310M100US22420,"Flint, MI Metro Area",168984,16749,10025,10032,10597,10439,10455,9878,8839,7866,14323,17287,18488,11367,5577,4469,2593
22500,310M100US22500,"Florence, SC Metro Area",77441,8027,6192,4797,5186,5156,5109,4352,4515,3467,6231,7421,7781,3944,1948,2004,1311
22520,310M100US22520,"Florence-Muscle Shoals, AL Metro Area",59878,6357,5449,4585,3636,3203,3752,3329,3358,2392,4271,5736,6531,3554,1570,1073,1082
22540,310M100US22540,"Fond du Lac, WI Metro Area",40484,2167,2489,1918,2238,2144,2207,2042,2232,2100,3957,5218,6061,2809,1226,934,742
22660,310M100US22660,"Fort Collins-Loveland, CO Metro Area",117415,7959,5612,5854,5672,5499,5992,5631,6151,4514,9158,12322,15559,10151,6369,6428,4544
22900,310M100US22900,"Fort Smith, AR-OK Metro Area",112174,9995,9220,8141,9073,8041,7321,6723,5973,5107,9694,11507,10166,5156,2547,1843,1667
23060,310M100US23060,"Fort Wayne, IN Metro Area",159781,9624,7927,8516,9328,10065,10293,8854,8933,8204,15413,18628,20172,11524,4715,4194,3391
23420,310M100US23420,"Fresno, CA Metro Area",283836,21431,19921,18728,18169,16507,15476,14202,13790,12029,23207,26919,33211,20296,11734,10428,7788
23460,310M100US23460,"Gadsden, AL Metro Area",41584,4371,3216,3472,2995,3058,2940,2526,2316,1866,2763,3583,3804,2350,1136,650,538
23540,310M100US23540,"Gainesville, FL Metro Area",103516,14016,6858,7175,6957,5330,5735,5121,5189,4689,6848,9223,9766,6163,3666,3268,3512
23580,310M100US23580,"Gainesville, GA Metro Area",60173,3367,2916,3211,3383,3857,3633,3344,2833,3000,5314,6519,7897,4582,2071,2272,1974
24020,310M100US24020,"Glens Falls, NY Metro Area",53136,3010,3075,2934,2923,3176,3319,2842,2932,2276,5033,6437,7031,3958,1690,1587,913
24140,310M100US24140,"Goldsboro, NC Metro Area",46280,4708,3213,2860,3010,2909,3098,2627,2945,2081,4105,5225,4383,2670,1024,772,650
24220,310M100US24220,"Grand Forks, ND-MN Metro Area",39023,3581,2685,2445,2566,2061,2119,1942,2012,1823,3302,4361,4731,2476,1189,985,745
24300,310M100US24300,"Grand Junction, CO Metro Area",57123,3629,2999,2764,3438,3211,3251,2486,3090,2501,5011,6775,7815,4282,2300,1764,1807
24340,310M100US24340,"Grand Rapids-Wyoming, MI Metro Area",291617,19185,16993,16452,16742,16537,17170,15013,16215,14158,26890,32416,37286,20472,10704,7929,7455
24500,310M100US24500,"Great Falls, MT Metro Area",33164,2825,2135,1864,2387,2137,2179,2039,1985,1536,2972,3444,3924,1911,809,544,473
24540,310M100US24540,"Greeley, CO Metro Area",86776,5421,4724,4324,4419,4215,3973,3683,4390,4128,7392,9849,12618,8149,3891,3381,2219
24580,310M100US24580,"Green Bay, WI Metro Area",121653,6978,6172,6679,6727,6387,6619,6642,6748,5579,11258,14461,17510,9652,4230,2992,3019
24660,310M100US24660,"Greensboro-High Point, NC Metro Area",282317,24090,18235,17057,18071,18942,17643,15641,15574,12910,23360,27894,30803,17059,9031,8157,7850
24780,310M100US24780,"Greenville, NC Metro Area",71026,9504,6066,4993,4139,3937,3790,3954,3698,3200,5363,6319,6849,3981,1865,1835,1533
24860,310M100US24860,"Greenville-Mauldin-Easley, SC Metro Area",240864,20422,15225,15738,15594,14016,14512,12965,12667,11782,19242,23973,27321,16277,7312,7267,6551
25060,310M100US25060,"Gulfport-Biloxi, MS Metro Area",88803,6716,5492,5724,6126,5341,5444,4785,4462,4683,7240,9377,10677,5707,2686,2569,1774
25180,310M100US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",101217,6129,5556,5421,5478,4491,6578,5383,5515,4379,8501,11564,14447,8062,4087,3386,2240
25260,310M100US25260,"Hanford-Corcoran, CA Metro Area",40606,2158,2276,2443,2722,2557,2374,2523,1821,1908,3768,4596,4466,3286,1768,1345,595
25420,310M100US25420,"Harrisburg-Carlisle, PA Metro Area",219490,12231,10003,9537,10786,11331,12633,11291,11201,10243,17973,25354,32931,19885,9439,8379,6273
25500,310M100US25500,"Harrisonburg, VA Metro Area",44666,3784,2711,2440,2673,2700,2695,2378,2540,2425,4134,4534,5317,2686,1382,1159,1108
25540,310M100US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",469052,26157,18937,20083,20722,18413,18982,18777,18787,17916,35336,47170,68184,47492,31164,32650,28282
25620,310M100US25620,"Hattiesburg, MS Metro Area",53213,6150,4693,3766,3334,3215,2577,3340,2647,2185,3744,4843,5614,3141,1605,1131,1228
25860,310M100US25860,"Hickory-Lenoir-Morganton, NC Metro Area",138854,11524,10985,9265,10369,10299,8535,7969,7074,7006,12802,14419,14289,6362,3024,2523,2409
25980,310M100US25980,"Hinesville-Fort Stewart, GA Metro Area",27179,2570,1501,1754,1762,1758,2189,1234,1610,1584,2703,3235,3173,1199,330,390,187
26100,310M100US26100,"Holland-Grand Haven, MI Metro Area",92526,3918,4006,4200,4584,4480,4841,4760,5333,4805,9262,11418,13417,7765,3997,3262,2478
26180,310M100US26180,"Honolulu, HI Metro Area",304827,16397,9260,10042,11086,11716,12181,11520,12803,11481,23343,33193,46346,33466,22468,21714,17811
26300,310M100US26300,"Hot Springs, AR Metro Area",40146,3710,3432,3128,3099,2857,2804,2467,2200,2039,3264,3240,3638,1831,808,738,891
26380,310M100US26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",72186,6003,4998,4883,4071,4059,3621,3382,3340,3259,5383,7789,8951,5475,3032,2136,1804
26420,310M100US26420,"Houston-Sugar Land-Baytown, TX Metro Area",1966846,124747,93362,101245,103512,101038,104771,90553,94332,82172,156421,190410,239552,164755,102197,107289,110490
26580,310M100US26580,"Huntington-Ashland, WV-KY-OH Metro Area",115862,13416,9526,9183,7983,8357,7290,6498,5607,5023,9746,10749,10922,5518,2404,1925,1715
26620,310M100US26620,"Huntsville, AL Metro Area",156592,11170,7471,7828,9103,8078,8323,7308,7118,6372,12892,14706,18887,14446,8233,8568,6089
26820,310M100US26820,"Idaho Falls, ID Metro Area",43139,2151,2011,2140,2706,2735,2374,2458,2442,2249,4200,4935,5785,2965,1643,1473,872
26900,310M100US26900,"Indianapolis-Carmel, IN Metro Area",661968,41127,31075,33608,36151,35418,37339,33381,34273,29416,57248,70532,86357,54400,30113,27217,24313
26980,310M100US26980,"Iowa City, IA Metro Area",59752,5427,3495,3303,3411,2593,2519,2791,2989,2704,5026,6450,7834,4369,2425,2229,2187
27060,310M100US27060,"Ithaca, NY Metro Area",38446,3781,2168,2101,1942,1943,2025,1962,1917,1866,2803,3952,4083,3036,1905,1660,1302
27100,310M100US27100,"Jackson, MI Metro Area",60612,4914,3540,3448,4101,3369,3212,3649,3432,2828,5539,6630,7726,3891,1973,1423,937
27140,310M100US27140,"Jackson, MS Metro Area",195301,17824,13102,11962,11893,11371,10896,9967,9818,8673,15948,18967,22055,13395,7290,6010,6130
27180,310M100US27180,"Jackson, TN Metro Area",43007,5063,2946,2977,2618,2487,2794,2564,2185,1760,3778,4287,4260,2113,1220,904,1051
27260,310M100US27260,"Jacksonville, FL Metro Area",503657,34756,23044,24438,25474,26569,28620,25325,26342,22551,44744,57198,66823,39692,21534,18978,17569
27340,310M100US27340,"Jacksonville, NC Metro Area",56633,3968,2788,3377,3392,4416,3811,3778,3900,2979,5277,6292,6102,3175,1429,1257,692
27500,310M100US27500,"Janesville, WI Metro Area",62598,4082,3105,3666,3431,3568,3830,3659,3214,2903,5594,7105,9471,4337,2315,1302,1016
27620,310M100US27620,"Jefferson City, MO Metro Area",56530,3775,2846,2861,3199,2879,3238,2935,3057,2936,5008,7058,8352,4178,1974,1394,840
27740,310M100US27740,"Johnson City, TN Metro Area",80644,8695,6936,6632,5232,5327,5410,4092,4370,3796,6755,7244,7449,3677,1769,1468,1792
27780,310M100US27780,"Johnstown, PA Metro Area",58802,4871,4651,4388,4460,4173,3954,3164,3095,2846,5103,6101,6466,2861,1132,825,712
27860,310M100US27860,"Jonesboro, AR Metro Area",45409,5283,4077,3281,2917,2811,2976,2527,1868,1895,3931,4271,4280,2291,1170,909,922
27900,310M100US27900,"Joplin, MO Metro Area",66123,5717,5256,4985,4779,4713,4490,4107,3455,2999,6394,6730,6294,2810,1307,1141,946
28020,310M100US28020,"Kalamazoo-Portage, MI Metro Area",128552,11223,8695,8149,8069,8335,6966,6457,6757,5609,10760,12360,14652,8501,4665,4099,3255
28100,310M100US28100,"Kankakee-Bradley, IL Metro Area",40943,2608,2669,2309,2257,2085,2510,2173,2272,1454,3491,4726,5886,3299,1240,1234,730
28140,310M100US28140,"Kansas City, MO-KS Metro Area",789432,48469,36126,35754,39069,41325,41266,37839,39201,35671,66370,89082,107218,70647,38101,35298,27996
28420,310M100US28420,"Kennewick-Pasco-Richland, WA Metro Area",83460,5521,3730,3904,4186,4504,4194,4244,4363,3684,7268,8616,11036,7968,4260,3665,2317
28660,310M100US28660,"Killeen-Temple-Fort Hood, TX Metro Area",129226,9097,5876,6588,7157,7614,8241,8285,7652,6488,12410,15644,15960,8379,4009,3194,2632
