GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
19460,310M100US19460,"Decatur, AL Metro Area",59787,42975,20046,10469,8065,3078,813,504,16812,14768,1780,197,42,25,0,0
19500,310M100US19500,"Decatur, IL Metro Area",44947,28514,14499,5709,5089,2113,813,291,16433,14452,1608,282,65,0,26,0
19660,310M100US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",200346,126653,67885,26033,20362,8588,2353,1432,73693,61217,11177,773,353,173,0,0
19740,310M100US19740,"Denver-Aurora-Broomfield, CO Metro Area",978799,620203,263474,142900,127385,56159,19288,10997,358596,288520,60651,6600,2123,579,103,20
19780,310M100US19780,"Des Moines-West Des Moines, IA Metro Area",219755,145304,64020,32939,29891,12703,3871,1880,74451,60572,12435,833,454,88,29,40
19820,310M100US19820,"Detroit-Warren-Livonia, MI Metro Area",1667113,1102281,463821,251416,227377,102417,36014,21236,564832,491164,64153,6306,1999,792,305,113
20020,310M100US20020,"Dothan, AL Metro Area",55411,38300,18547,9181,6644,2772,811,345,17111,15272,1512,194,104,12,17,0
20100,310M100US20100,"Dover, DE Metro Area",57396,40711,18043,9725,7821,3121,1196,805,16685,14011,2192,292,78,60,9,43
20220,310M100US20220,"Dubuque, IA Metro Area",36787,24605,11950,5014,4586,2040,715,300,12182,9984,1806,316,4,72,0,0
20260,310M100US20260,"Duluth, MN-WI Metro Area",119423,73214,37724,15532,12454,5110,1440,954,46209,37199,6973,988,546,371,132,0
20500,310M100US20500,"Durham-Chapel Hill, NC Metro Area",195551,120672,55672,29896,22441,8138,2956,1569,74879,58443,13245,1846,935,242,135,33
20740,310M100US20740,"Eau Claire, WI Metro Area",63463,40225,19797,8152,7459,3335,861,621,23238,17423,4225,1022,403,131,23,11
20940,310M100US20940,"El Centro, CA Metro Area",47304,38146,11229,9046,7916,5877,2752,1326,9158,8053,926,53,74,0,52,0
21060,310M100US21060,"Elizabethtown, KY Metro Area",42431,30733,13494,7817,5839,2495,741,347,11698,10021,1340,257,38,0,42,0
21140,310M100US21140,"Elkhart-Goshen, IN Metro Area",70035,50376,20909,10730,9562,5350,2272,1553,19659,16256,2778,322,159,106,38,0
21300,310M100US21300,"Elmira, NY Metro Area",35418,22962,10893,5099,4386,1531,734,319,12456,10572,1635,139,51,32,27,0
21340,310M100US21340,"El Paso, TX Metro Area",242943,186687,57277,44816,43085,25226,9858,6425,56256,49027,6278,458,354,110,0,29
21500,310M100US21500,"Erie, PA Metro Area",108252,69875,31792,16346,12988,5476,2004,1269,38377,32293,4927,712,293,74,78,0
21660,310M100US21660,"Eugene-Springfield, OR Metro Area",143894,86947,43077,20085,14904,5872,2037,972,56947,40637,13351,2031,728,165,21,14
21780,310M100US21780,"Evansville, IN-KY Metro Area",142593,94479,45165,21252,17267,7328,2371,1096,48114,41243,5483,878,365,55,90,0
21820,310M100US21820,"Fairbanks, AK Metro Area",34596,23642,9912,5299,4820,2252,916,443,10954,8483,2041,262,152,0,16,0
22020,310M100US22020,"Fargo, ND-MN Metro Area",84600,48919,22734,10837,9785,3999,1175,389,35681,27138,6684,1380,364,84,31,0
22140,310M100US22140,"Farmington, NM Metro Area",41767,30952,11954,6101,6604,3693,1547,1053,10815,9286,1232,140,72,65,20,0
22180,310M100US22180,"Fayetteville, NC Metro Area",131543,90936,37674,23590,17815,7746,3062,1049,40607,33384,5816,1000,292,115,0,0
22220,310M100US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",168289,116099,50635,25537,22497,10978,3794,2658,52190,41951,8483,1145,558,53,0,0
22380,310M100US22380,"Flagstaff, AZ Metro Area",45478,29748,13230,6514,5107,2504,1223,1170,15730,11194,3211,855,334,136,0,0
22420,310M100US22420,"Flint, MI Metro Area",168984,110911,49758,25830,20683,9396,3507,1737,58073,50151,6700,809,263,68,40,42
22500,310M100US22500,"Florence, SC Metro Area",77441,53420,24006,13697,9973,3848,1151,745,24021,21125,2383,395,86,32,0,0
22520,310M100US22520,"Florence-Muscle Shoals, AL Metro Area",59878,40722,20905,9178,7280,2435,656,268,19156,17066,1812,213,27,38,0,0
22540,310M100US22540,"Fond du Lac, WI Metro Area",40484,27406,13341,5317,5345,2314,662,427,13078,11107,1647,242,38,9,35,0
22660,310M100US22660,"Fort Collins-Loveland, CO Metro Area",117415,74324,36282,16218,13782,5357,1902,783,43091,30621,9430,2473,434,112,21,0
22900,310M100US22900,"Fort Smith, AR-OK Metro Area",112174,79007,36004,17993,14501,6528,2449,1532,33167,28670,3900,487,51,42,17,0
23060,310M100US23060,"Fort Wayne, IN Metro Area",159781,106737,47622,22546,20288,10310,4128,1843,53044,44245,7520,830,286,126,19,18
23420,310M100US23420,"Fresno, CA Metro Area",283836,205821,64991,43481,45019,27081,13988,11261,78015,61487,12648,2407,1047,110,131,185
23460,310M100US23460,"Gadsden, AL Metro Area",41584,28868,13651,7123,5160,1867,710,357,12716,11654,875,114,58,15,0,0
23540,310M100US23540,"Gainesville, FL Metro Area",103516,56466,28472,12996,9531,3400,1307,760,47050,33562,9176,2580,1611,87,0,34
23580,310M100US23580,"Gainesville, GA Metro Area",60173,45172,18260,9761,8698,4817,2286,1350,15001,12075,2228,341,157,118,82,0
24020,310M100US24020,"Glens Falls, NY Metro Area",53136,35107,16743,7871,6623,2608,928,334,18029,14815,2803,312,79,20,0,0
24140,310M100US24140,"Goldsboro, NC Metro Area",46280,32101,13881,8382,6191,2307,763,577,14179,12174,1510,372,111,12,0,0
24220,310M100US24220,"Grand Forks, ND-MN Metro Area",39023,22957,11310,4540,4126,1935,795,251,16066,12219,2836,614,277,58,52,10
24300,310M100US24300,"Grand Junction, CO Metro Area",57123,37953,18303,7775,6982,3252,1004,637,19170,15168,3059,779,71,57,36,0
24340,310M100US24340,"Grand Rapids-Wyoming, MI Metro Area",291617,199474,84397,43363,40445,19736,7468,4065,92143,74542,14201,2209,830,232,95,34
24500,310M100US24500,"Great Falls, MT Metro Area",33164,21965,11281,4929,3591,1549,415,200,11199,9514,1473,159,53,0,0,0
24540,310M100US24540,"Greeley, CO Metro Area",86776,62004,24814,13562,12878,6643,2545,1562,24772,19086,4324,780,324,253,5,0
24580,310M100US24580,"Green Bay, WI Metro Area",121653,80745,37206,17495,16101,6504,2463,976,40908,32862,6931,723,282,72,38,0
24660,310M100US24660,"Greensboro-High Point, NC Metro Area",282317,184695,84554,45693,33665,13680,4806,2297,97622,82371,12353,2127,564,153,54,0
24780,310M100US24780,"Greenville, NC Metro Area",71026,42486,18896,11072,8337,2833,905,443,28540,21732,5013,1206,553,36,0,0
24860,310M100US24860,"Greenville-Mauldin-Easley, SC Metro Area",240864,159700,73733,37173,31174,12118,3666,1836,81164,68864,9435,1836,833,101,61,34
25060,310M100US25060,"Gulfport-Biloxi, MS Metro Area",88803,61611,26526,15531,11396,5128,1884,1146,27192,22166,4104,537,178,170,37,0
25180,310M100US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",101217,68374,31339,15716,13181,5321,2033,784,32843,27530,4402,660,188,63,0,0
25260,310M100US25260,"Hanford-Corcoran, CA Metro Area",40606,31777,9531,6337,7798,4279,2387,1445,8829,7278,1043,262,102,99,45,0
25420,310M100US25420,"Harrisburg-Carlisle, PA Metro Area",219490,140552,66697,31804,27049,9966,3517,1519,78938,65535,11080,1535,585,155,40,8
25500,310M100US25500,"Harrisonburg, VA Metro Area",44666,29103,13217,6240,5951,2388,921,386,15563,11015,2344,666,1316,116,66,40
25540,310M100US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",469052,310244,133205,72359,67789,25845,7591,3455,158808,130317,24380,2882,927,186,85,31
25620,310M100US25620,"Hattiesburg, MS Metro Area",53213,34553,14956,8684,6368,2955,1141,449,18660,15026,2911,411,294,18,0,0
25860,310M100US25860,"Hickory-Lenoir-Morganton, NC Metro Area",138854,94850,45414,22318,16714,7155,2103,1146,44004,37919,5003,651,370,7,54,0
25980,310M100US25980,"Hinesville-Fort Stewart, GA Metro Area",27179,19855,7437,5690,3678,2029,673,348,7324,6251,870,116,87,0,0,0
26100,310M100US26100,"Holland-Grand Haven, MI Metro Area",92526,68045,28385,13078,14920,7998,2246,1418,24481,19421,3642,602,710,45,61,0
26180,310M100US26180,"Honolulu, HI Metro Area",304827,215363,78148,49930,42073,21753,10882,12577,89464,70960,14392,2700,1064,255,11,82
26300,310M100US26300,"Hot Springs, AR Metro Area",40146,25731,14728,4771,3772,1542,524,394,14415,12705,1441,178,91,0,0,0
26380,310M100US26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",72186,52673,20719,12763,10859,5434,1826,1072,19513,15428,3602,313,108,27,11,24
26420,310M100US26420,"Houston-Sugar Land-Baytown, TX Metro Area",1966846,1399621,500846,328620,307386,160786,62247,39736,567225,469041,81794,10464,3975,1343,351,257
26580,310M100US26580,"Huntington-Ashland, WV-KY-OH Metro Area",115862,76428,37530,18501,12987,4952,1752,706,39434,34174,4581,407,229,31,12,0
26620,310M100US26620,"Huntsville, AL Metro Area",156592,105658,49534,25345,19970,7898,1915,996,50934,44323,5523,682,329,77,0,0
26820,310M100US26820,"Idaho Falls, ID Metro Area",43139,32767,13627,6462,5636,4005,1729,1308,10372,8657,1329,200,153,19,0,14
26900,310M100US26900,"Indianapolis-Carmel, IN Metro Area",661968,439357,188102,99838,90582,40421,13401,7013,222611,184275,32956,3641,1292,305,65,77
26980,310M100US26980,"Iowa City, IA Metro Area",59752,33291,15694,7600,6321,2643,664,369,26461,18249,5622,1653,581,280,76,0
27060,310M100US27060,"Ithaca, NY Metro Area",38446,19798,9838,4318,3516,1376,507,243,18648,12533,3988,1231,511,95,192,98
27100,310M100US27100,"Jackson, MI Metro Area",60612,41508,19168,8871,7631,3825,1163,850,19104,16061,2603,272,124,13,31,0
27140,310M100US27140,"Jackson, MS Metro Area",195301,133588,55388,32016,27962,11595,4032,2595,61713,53437,6859,999,334,84,0,0
27180,310M100US27180,"Jackson, TN Metro Area",43007,29247,13250,7483,5416,2128,695,275,13760,12409,1068,246,37,0,0,0
27260,310M100US27260,"Jacksonville, FL Metro Area",503657,334850,147601,82335,63425,26942,10030,4517,168807,137068,26952,3449,1043,203,78,14
27340,310M100US27340,"Jacksonville, NC Metro Area",56633,41731,17411,10918,8158,3766,1029,449,14902,12115,2412,218,157,0,0,0
27500,310M100US27500,"Janesville, WI Metro Area",62598,42852,19577,9485,8301,3812,1275,402,19746,16479,2802,249,114,75,27,0
27620,310M100US27620,"Jefferson City, MO Metro Area",56530,38551,17654,9007,7734,3079,695,382,17979,15115,2501,210,143,0,10,0
27740,310M100US27740,"Johnson City, TN Metro Area",80644,52505,26771,12183,9189,3072,976,314,28139,23318,4253,387,166,15,0,0
27780,310M100US27780,"Johnstown, PA Metro Area",58802,38530,19833,8537,6466,2506,929,259,20272,17953,2023,199,70,27,0,0
27860,310M100US27860,"Jonesboro, AR Metro Area",45409,30995,14188,7422,6030,2239,796,320,14414,11777,2142,303,122,70,0,0
27900,310M100US27900,"Joplin, MO Metro Area",66123,45283,20675,9838,8090,4216,1542,922,20840,16966,3062,593,154,65,0,0
28020,310M100US28020,"Kalamazoo-Portage, MI Metro Area",128552,80425,36176,18279,15156,7269,2156,1389,48127,37429,8289,1380,798,167,64,0
28100,310M100US28100,"Kankakee-Bradley, IL Metro Area",40943,28243,11947,6495,5535,2518,1072,676,12700,10493,1804,186,110,85,22,0
28140,310M100US28140,"Kansas City, MO-KS Metro Area",789432,523744,230639,116684,104351,47751,15727,8592,265688,222289,36412,4836,1537,506,100,8
28420,310M100US28420,"Kennewick-Pasco-Richland, WA Metro Area",83460,60076,23875,12965,12220,6323,2842,1851,23384,19475,3105,536,191,77,0,0
28660,310M100US28660,"Killeen-Temple-Fort Hood, TX Metro Area",129226,94204,37376,24236,18608,9204,3099,1681,35022,29503,4421,841,204,53,0,0
28700,310M100US28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",130522,89608,46189,20977,15296,4778,1631,737,40914,35945,4044,669,171,71,3,11
28740,310M100US28740,"Kingston, NY Metro Area",70691,45201,20326,10968,8583,3282,1490,552,25490,20267,4201,548,215,165,54,40
28940,310M100US28940,"Knoxville, TN Metro Area",283776,182293,90180,43605,31829,11739,3172,1768,101483,86664,12004,1687,863,150,33,82
29020,310M100US29020,"Kokomo, IN Metro Area",40981,28087,13722,5852,5002,2220,844,447,12894,11097,1530,150,88,29,0,0
29100,310M100US29100,"La Crosse, WI-MN Metro Area",53271,32865,15967,6790,6315,2419,989,385,20406,15727,3399,617,540,123,0,0
29140,310M100US29140,"Lafayette, IN Metro Area",75684,45163,21375,10006,8297,3450,1306,729,30521,21403,6160,2109,706,104,29,10
29180,310M100US29180,"Lafayette, LA Metro Area",102741,66976,27849,16915,13794,5875,1523,1020,35765,29200,5258,986,261,23,33,4
29340,310M100US29340,"Lake Charles, LA Metro Area",74264,51483,22255,12235,10158,4463,1495,877,22781,19223,2846,453,219,37,3,0
29420,310M100US29420,"Lake Havasu City-Kingman, AZ Metro Area",80361,53407,30340,10170,6750,3314,1367,1466,26954,21399,4807,483,190,64,0,11
29460,310M100US29460,"Lakeland-Winter Haven, FL Metro Area",223689,157222,76044,31708,27768,13099,5208,3395,66467,53924,10360,1050,621,329,101,82
29540,310M100US29540,"Lancaster, PA Metro Area",191474,135716,62191,27526,25686,12185,4188,3940,55758,45453,8547,1326,235,170,18,9
29620,310M100US29620,"Lansing-East Lansing, MI Metro Area",180402,112894,51316,26111,21756,9377,2900,1434,67508,52868,11161,1971,1086,340,73,9
29700,310M100US29700,"Laredo, TX Metro Area",64714,53860,11928,11523,12413,9986,4529,3481,10854,9096,1223,376,51,17,63,28
29740,310M100US29740,"Las Cruces, NM Metro Area",71748,50020,21176,10596,10229,4925,2186,908,21728,16909,3868,745,146,60,0,0
