GEO.id2,GEO.id,MSA,POP_TOT,POP_MALE,POP_M_18_24,POP_M_18_24_E1,POP_M_18_24_E2,POP_M_18_24_E3,POP_M_18_24_E4,POP_M_18_24_E5,POP_M_18_24_E6,POP_M_18_24_E7,POP_M_25_34,POP_M_25_34_E1,POP_M_25_34_E2,POP_M_25_34_E3,POP_M_25_34_E4,POP_M_25_34_E5,POP_M_25_34_E6,POP_M_25_34_E7,POP_M_35_44,POP_M_35_44_E1,POP_M_35_44_E2,POP_M_35_44_E3,POP_M_35_44_E4,POP_M_35_44_E5,POP_M_35_44_E6,POP_M_35_44_E7,POP_M_45_64,POP_M_45_64_E1,POP_M_45_64_E2,POP_M_45_64_E3,POP_M_45_64_E4,POP_M_45_64_E5,POP_M_45_64_E6,POP_M_45_64_E7,POP_M_65_OVER,POP_M_65_OVER_E1,POP_M_65_OVER_E2,POP_M_65_OVER_E3,POP_M_65_OVER_E4,POP_M_65_OVER_E5,POP_M_65_OVER_E6,POP_M_65_OVER_E7,POP_FEMALE,POP_F_18_24,POP_F_18_24_E1,POP_F_18_24_E2,POP_F_18_24_E3,POP_F_18_24_E4,POP_F_18_24_E5,POP_F_18_24_E6,POP_F_18_24_E7,POP_F_25_34,POP_F_25_34_E1,POP_F_25_34_E2,POP_F_25_34_E3,POP_F_25_34_E4,POP_F_25_34_E5,POP_F_25_34_E6,POP_F_25_34_E7,POP_F_35_44,POP_F_35_44_E1,POP_F_35_44_E2,POP_F_35_44_E3,POP_F_35_44_E4,POP_F_35_44_E5,POP_F_35_44_E6,POP_F_35_44_E7,POP_F_45_64,POP_F_45_64_E1,POP_F_45_64_E2,POP_F_45_64_E3,POP_F_45_64_E4,POP_F_45_64_E5,POP_F_45_64_E6,POP_F_45_64_E7,POP_F_65_OVER,POP_F_65_OVER_E1,POP_F_65_OVER_E2,POP_F_65_OVER_E3,POP_F_65_OVER_E4,POP_F_65_OVER_E5,POP_F_65_OVER_E6,POP_F_65_OVER_E7
21500,310M100US21500,"Erie, PA Metro Area",214627,103744,15910,59,2038,4929,6851,539,1324,170,16410,286,1209,7043,2705,1126,2975,1066,17606,330,1168,7548,3129,1245,3000,1186,37104,664,2787,15838,6056,2608,5238,3913,16714,1141,2606,6632,2547,414,1723,1651,110883,15859,192,1277,4496,7040,721,1991,142,15986,208,719,4964,3172,1646,3601,1676,17723,232,1018,6737,2810,1985,3393,1548,37812,640,2300,16473,6286,3234,5122,3757,23503,1603,3211,12378,2800,718,1703,1090
21660,310M100US21660,"Eugene-Springfield, OR Metro Area",277084,134921,22948,270,2524,6664,11226,947,1212,105,22190,688,1769,5915,7026,1645,3677,1470,20856,535,1533,5763,5859,1904,3680,1582,46766,989,3275,10029,13009,4908,8441,6115,22161,1351,2221,6057,5001,948,2945,3638,142163,22258,141,2081,5489,11206,1072,2197,72,21330,546,1162,4407,6359,1969,4731,2156,20666,470,1120,5082,5631,2163,3909,2291,49767,844,2440,11504,15440,5145,8314,6080,28142,1119,3294,10407,6984,1210,2942,2186
21780,310M100US21780,"Evansville, IN-KY Metro Area",272242,130047,16826,139,3378,5034,6530,724,1018,3,22021,390,2098,6798,5586,2510,3707,932,22668,445,1834,7896,5348,2019,3817,1309,47836,1490,3422,18703,10040,3768,6374,4039,20696,2129,2739,8383,3577,546,1558,1764,142195,17758,220,2010,4973,8133,889,1417,116,21815,162,1620,5245,5918,2856,4736,1278,23110,315,1602,6675,6112,2752,4111,1543,50026,751,3988,19766,10427,4929,5621,4544,29486,2890,4766,13485,4906,751,1379,1309
21820,310M100US21820,"Fairbanks, AK Metro Area",69791,37064,7500,53,832,3240,3006,208,152,9,8089,51,333,2664,2885,787,1024,345,6365,74,339,1633,2026,658,932,703,12278,348,674,3135,2986,1159,2056,1920,2832,318,258,712,646,92,285,521,32727,5647,15,617,1742,2542,293,419,19,6916,60,284,1724,2433,847,1233,335,6124,0,181,1717,1641,739,1098,748,11186,128,384,2437,3572,1087,2064,1514,2854,277,302,981,606,105,253,330
22020,310M100US22020,"Fargo, ND-MN Metro Area",156685,77921,17242,39,828,4977,8567,1153,1639,39,16229,231,462,3759,3893,2151,4670,1063,13008,152,220,3066,3187,1836,3166,1381,22654,360,701,6061,4831,2528,5282,2891,8788,1357,626,2552,1916,247,1017,1073,78764,17269,55,683,3467,10233,1098,1559,174,14817,139,251,2134,3062,2180,5672,1379,12019,195,297,1831,2586,1939,3809,1362,22703,303,431,5645,5697,2798,5419,2410,11956,1171,946,4762,2459,431,1507,680
22140,310M100US22140,"Farmington, NM Metro Area",90037,44241,6600,156,1726,2663,1750,196,78,31,8770,227,1207,3388,2238,777,746,187,7644,297,906,3016,1546,830,613,436,15286,1039,1709,4915,3541,1202,1846,1034,5941,1375,588,1729,971,192,475,611,45796,6288,157,1303,2401,1977,357,93,0,8548,282,880,2738,2542,935,941,230,7904,264,879,2505,2286,897,755,318,15566,588,1416,5060,3980,1722,1749,1051,7490,2008,1090,2111,1326,363,417,175
22180,310M100US22180,"Fayetteville, NC Metro Area",259332,124139,24560,504,3125,10698,8674,598,921,40,27029,877,1812,7621,9933,2401,3470,915,22651,756,1655,6574,6271,2655,2852,1888,36862,1588,2956,10596,8879,4068,5314,3461,13037,1433,1459,4223,2479,1046,1443,954,135193,20768,335,2473,7139,8202,801,1769,49,28399,410,2368,5685,9903,2720,5583,1730,25296,361,1090,6053,7818,3755,4221,1998,41789,1739,3472,12244,10728,4522,5550,3534,18941,2329,3004,6999,3555,1030,1276,748
22220,310M100US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",327104,160968,25577,853,3939,9421,8885,739,1676,64,33849,2203,4216,9498,6917,1474,7117,2424,31170,2482,3508,9038,6349,1599,5600,2594,48681,3733,4279,15156,10357,2465,7979,4712,21691,2688,2077,6695,4324,689,2759,2459,166136,24617,460,3080,7613,9942,1086,2176,260,32739,1659,3198,8394,7693,1545,7143,3107,30093,2111,2661,8502,6290,2137,6400,1992,51237,3063,4024,17247,11564,3692,7602,4045,27450,3266,3486,10762,5262,915,2273,1486
22380,310M100US22380,"Flagstaff, AZ Metro Area",99713,48901,11022,126,1286,3273,5224,530,583,0,9012,213,622,2724,2453,743,1699,558,7905,217,720,2214,1927,406,1697,724,15794,540,1043,3869,4175,1068,2871,2228,5168,904,516,1022,875,81,811,959,50812,12048,217,1221,3216,5858,539,967,30,8503,257,515,1504,2597,937,1944,749,7895,187,696,1674,1860,755,1668,1055,16299,482,1253,3587,4199,1323,2704,2751,6067,1263,537,1397,1184,291,574,821
22420,310M100US22420,"Flint, MI Metro Area",321695,151879,18839,267,3989,5989,6940,628,950,76,25418,476,2286,8532,7913,1582,3486,1143,28533,235,2307,10383,7000,2464,4033,2111,55485,1099,5078,19698,15031,4101,6171,4307,23604,2150,3509,7783,4958,986,2239,1979,169816,18940,292,3198,5187,7828,1127,1249,59,27456,389,1947,6747,8840,3043,4806,1684,30404,341,1853,8221,8866,4146,4812,2165,60422,974,3397,21613,15661,6975,7542,4260,32594,2564,5053,14802,5601,1242,1873,1459
22500,310M100US22500,"Florence, SC Metro Area",152855,70287,8815,157,2401,2814,2871,369,156,47,11879,548,1877,4355,2459,821,1390,429,12841,476,1289,5265,2085,1051,1751,924,26003,1937,3213,9395,4218,2216,3269,1755,10749,2068,1643,2921,1792,520,973,832,82568,9783,132,1445,3157,3722,364,880,83,13346,304,1337,4129,2965,1305,2385,921,14305,377,1249,5500,2568,1519,1828,1264,29402,1487,3822,10375,5294,2563,3630,2231,15732,3035,2917,5364,1917,408,1318,773
22520,310M100US22520,"Florence-Muscle Shoals, AL Metro Area",114106,53720,6935,193,1332,2082,2883,124,307,14,8095,408,932,2520,2051,711,1075,398,9402,299,1115,3347,2242,614,1300,485,19097,1054,1996,7312,3736,1096,2440,1463,10191,1229,1382,3288,1710,370,1297,915,60386,7209,74,1001,2099,3231,351,386,67,8424,366,793,2258,2489,611,1432,475,9733,157,1024,2452,2497,973,1749,881,20874,660,1970,7715,4459,2006,2270,1794,14146,1859,2897,5202,2224,391,860,713
22540,310M100US22540,"Fond du Lac, WI Metro Area",77609,37642,4623,41,660,1836,1507,305,263,11,6117,24,522,2438,1650,579,761,143,6909,158,507,2767,1419,565,961,532,13866,191,978,5915,2779,1540,1515,948,6127,857,760,2648,828,198,474,362,39967,4512,35,373,1364,2023,227,447,43,5752,49,247,1497,1661,831,1018,449,6978,214,495,2107,1611,978,1081,492,14068,160,736,5955,3097,1590,1767,763,8657,1017,968,4142,1215,257,744,314
22660,310M100US22660,"Fort Collins-Loveland, CO Metro Area",228036,112191,21503,188,2073,5124,11119,1093,1791,115,20639,884,980,4451,5045,1226,5845,2208,18581,344,773,3066,4198,1725,5102,3373,37200,540,1474,7346,8004,3150,9180,7506,14268,837,611,3406,2896,523,2329,3666,115845,21085,98,1229,4306,11239,969,2962,282,19214,434,734,2498,3961,1629,7212,2746,18248,226,433,2774,3962,1978,5628,3247,38929,398,1012,7893,9620,3934,9483,6589,18369,765,1264,6240,4543,827,3308,1422
22900,310M100US22900,"Fort Smith, AR-OK Metro Area",218950,106511,13488,350,2734,5876,3754,433,304,37,18318,1019,2258,7394,4137,1300,1756,454,19597,1176,2540,7723,4098,1136,2076,848,37622,2625,4631,13126,8373,2844,3602,2421,17486,2527,2493,5411,3562,751,1615,1127,112439,12917,407,2087,4550,4242,912,681,38,18058,878,1824,5571,4825,1948,2303,709,19634,1249,1969,6246,4807,2250,2170,943,39159,2100,4328,14237,8885,3464,4045,2100,22671,3023,4062,8927,3828,910,1199,722
23060,310M100US23060,"Fort Wayne, IN Metro Area",301365,145250,18841,597,3580,6820,5927,570,1324,23,26524,941,1949,8177,6227,2648,5500,1082,27395,848,1678,8960,5753,2792,5275,2089,51882,1562,3396,17810,10710,4239,8983,5182,20608,1428,2376,7316,3786,979,2811,1912,156115,18735,405,2962,5810,6558,1090,1804,106,26944,1010,1897,5905,7006,3372,6193,1561,27542,558,1624,7166,7028,3492,5705,1969,53952,1697,3059,18622,12226,5919,7308,5121,28942,2035,3734,13562,4694,1182,2092,1643
23420,310M100US23420,"Fresno, CA Metro Area",634493,313870,54402,3865,11157,16517,18865,2312,1569,117,66288,8676,9322,17089,16495,4573,7981,2152,58067,10562,6794,13708,11786,4003,7642,3572,96392,16571,9321,19936,21185,7683,13726,7970,38721,8492,4219,8346,8052,1613,4365,3634,320623,50733,2271,7211,15583,20239,2952,2350,127,62838,5873,6639,14938,15844,5982,10289,3273,57319,8678,6536,12411,13112,4715,7917,3950,98809,15336,8457,22198,22713,9366,14097,6642,50924,11083,6074,14449,10227,2070,5038,1983
23460,310M100US23460,"Gadsden, AL Metro Area",79856,37746,4487,204,1071,1746,1071,260,93,42,6002,372,669,1756,1767,389,830,219,6926,305,1097,2314,1536,495,766,413,13685,689,1487,4608,3360,1289,1360,892,6646,801,816,2526,1489,108,529,377,42110,4353,167,1045,1149,1534,151,273,34,6303,337,490,1352,2062,743,957,362,7161,180,843,1941,1952,970,844,431,14724,535,1393,5250,3697,1313,1275,1261,9569,1249,2104,3836,1465,205,457,253
23540,310M100US23540,"Gainesville, FL Metro Area",212998,102624,29254,353,2304,4833,14086,3854,3317,507,19184,414,1306,3163,3097,2030,5148,4026,13833,431,1089,3639,2291,1323,2415,2645,28407,1490,2081,6530,4955,2709,5134,5508,11946,1193,1119,2664,1492,609,1815,3054,110374,31509,113,1158,4478,17427,3670,3939,724,17644,88,574,2915,3175,2556,4619,3717,14158,355,579,2900,2742,2011,3263,2308,31166,763,1958,7517,6041,3469,5893,5525,15897,1387,1843,5059,2846,1081,1807,1874
23580,310M100US23580,"Gainesville, GA Metro Area",126069,62433,8406,896,2146,3153,1790,212,193,16,12880,2263,1994,4054,2602,467,1167,333,13070,1758,1946,3878,2080,796,1735,877,20018,1732,1988,6142,4254,1289,2964,1649,8059,1117,1076,2076,1212,161,1447,970,63636,7899,391,1737,2889,2279,214,374,15,12035,1230,1320,3430,2251,1013,1848,943,12550,1486,1289,3679,2249,1046,1833,968,20590,1663,1584,6759,4446,1282,2751,2105,10562,1354,2045,3467,1903,346,986,461
24020,310M100US24020,"Glens Falls, NY Metro Area",101081,50424,5791,143,1176,2310,1600,248,306,8,7345,199,880,2954,1303,769,932,308,9390,311,888,3835,1591,1026,1122,617,19094,592,1327,6927,3573,1979,2830,1866,8804,767,934,3337,1301,370,963,1132,50657,4775,37,558,1837,1666,247,405,25,6578,126,606,1932,1330,947,952,685,8824,91,561,2904,1578,1292,1405,993,19159,440,1173,6895,3631,2558,2098,2364,11321,803,1326,4995,1779,571,1063,784
24140,310M100US24140,"Goldsboro, NC Metro Area",89926,43267,6337,323,1222,2432,1971,224,150,15,7813,582,1145,2386,2330,498,706,166,7894,631,898,2734,1845,617,806,363,15020,1146,1459,4863,3354,1623,1709,866,6203,871,1009,1846,1204,375,520,378,46659,5628,142,999,1543,2264,389,280,11,7722,433,627,1609,2417,1164,1103,369,8071,311,822,2038,2147,1237,1156,360,16224,710,1219,5410,4050,1740,1915,1180,9014,1095,1723,3264,1574,360,617,381
24220,310M100US24220,"Grand Forks, ND-MN Metro Area",77283,39197,10294,22,557,2775,5386,665,889,0,6697,69,331,1446,2028,884,1548,391,5323,29,197,1330,1298,788,966,715,11968,232,629,3718,2873,1106,2005,1405,4915,938,456,1574,795,115,458,579,38086,8416,0,559,1914,4468,590,859,26,5971,63,128,991,1511,941,1646,691,5261,85,192,1024,1203,927,1299,531,11540,321,559,3055,2622,1389,2484,1110,6898,834,526,2627,1469,400,663,379
