Gender,Origin,Count
Female,AmericanAlaskanNH,8
Female,AsianNH,34
Female,BlackNH,123
Female,HawaiianNH,0
Female,Hisp,317
Female,TwoNH,41
Female,WhiteNH,377
Male,AmericanAlaskanNH,2
Male,AsianNH,27
Male,BlackNH,112
Male,HawaiianNH,0
Male,Hisp,320
Male,TwoNH,39
Male,WhiteNH,393
