Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Htn,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
7,WhiteNH,Male,Age_35_44,some_coll_,0,10.2573,258.5681927,3.609650004,62.80219408,1.987499511,107.1270225,0.956996489,1
8,WhiteNH,Male,Age_35_44,some_coll_,0,43.269,183.3017662,2.132909786,37.94390699,0.513130168,107.2142392,0.678851833,1
9,WhiteNH,Male,Age_35_44,some_coll_,0,0.102648,185.8953551,1.185721033,38.66458276,0.453644716,129.7945087,0.378848772,0
10,WhiteNH,Male,Age_35_44,some_coll_,0,22.1248,260.0232206,2.612981792,38.57368671,0.849999912,108.2450764,0.81724335,0
11,WhiteNH,Male,Age_35_44,some_coll_,0,18.5782,263.1077288,2.070732848,67.16441768,1.260729295,131.8546274,0.744709356,0
12,WhiteNH,Male,Age_35_44,some_coll_,0,14.9779,264.0911081,3.527096193,66.6213899,2.042409756,138.6538978,2.336088375,1
13,WhiteNH,Male,Age_35_44,some_coll_,0,3.57603,185.7592711,2.153609964,37.31388999,0.611642667,131.2494238,0.779257616,1
14,WhiteNH,Male,Age_35_44,some_coll_,0,8.54803,269.2333914,3.285860061,38.0332805,0.96272926,108.6295917,0.945908929,1
15,WhiteNH,Male,Age_35_44,some_coll_,0,15.3056,268.259892,3.574527554,38.37686209,0.541308106,132.9393218,1.149171485,0
16,WhiteNH,Male,Age_35_44,some_coll_,0,19.4232,268.634603,3.443161034,37.42793814,1.06764583,132.6163769,2.925840392,1
17,WhiteNH,Male,Age_35_44,some_coll_,1,19.7911,183.7813561,1.45341862,60.20246457,0.593164426,108.0195231,0.484535924,0
18,WhiteNH,Male,Age_35_44,some_coll_,1,0.150953,185.8824034,2.239143758,60.27703107,0.875002767,108.5168175,0.7875782,1
19,WhiteNH,Male,Age_35_44,some_coll_,1,22.0919,188.846391,1.368114994,59.84533098,0.69938229,132.1359753,0.510570431,0
