Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Female,HS_or_less,Age_55_64,11,134.8600103,137.9002246
WhiteNH,Female,HS_or_less,Age_55_64,12,137.5453876,148.2312384
WhiteNH,Female,HS_or_less,Age_55_64,13,133.7688934,137.208819
WhiteNH,Female,HS_or_less,Age_55_64,14,109.3115811,113.1729938
WhiteNH,Female,HS_or_less,Age_55_64,15,135.3195949,140.8646754
WhiteNH,Female,HS_or_less,Age_55_64,16,133.6424355,146.6813826
WhiteNH,Female,some_coll_,Age_55_64,1,107.9490148,109.6247614
WhiteNH,Female,some_coll_,Age_55_64,2,107.8524835,110.850236
WhiteNH,Female,some_coll_,Age_55_64,3,132.9240934,135.06906
WhiteNH,Female,some_coll_,Age_55_64,4,108.5363431,110.7234844
WhiteNH,Female,some_coll_,Age_55_64,5,109.3118036,111.3562235
WhiteNH,Female,some_coll_,Age_55_64,6,134.2621737,137.8846387
WhiteNH,Female,some_coll_,Age_55_64,7,106.8633439,110.9710113
WhiteNH,Female,some_coll_,Age_55_64,8,108.3595047,111.0130462
WhiteNH,Female,some_coll_,Age_55_64,9,132.6356585,134.5671669
WhiteNH,Female,some_coll_,Age_55_64,10,109.1089077,112.6387148
WhiteNH,Female,some_coll_,Age_55_64,11,133.8063276,136.7164488
WhiteNH,Female,some_coll_,Age_55_64,12,136.4098881,147.1292794
WhiteNH,Female,some_coll_,Age_55_64,13,132.6852612,136.0549928
WhiteNH,Female,some_coll_,Age_55_64,14,108.1627629,112.0843535
WhiteNH,Female,some_coll_,Age_55_64,15,134.0882315,139.8585804
WhiteNH,Female,some_coll_,Age_55_64,16,132.4948623,145.5914973
WhiteNH,Female,HS_or_less,Age_65_74,1,111.3105751,113.1826319
WhiteNH,Female,HS_or_less,Age_65_74,2,111.297363,114.3247873
WhiteNH,Female,HS_or_less,Age_65_74,3,136.4148741,138.4977102
WhiteNH,Female,HS_or_less,Age_65_74,4,111.859718,114.3195403
WhiteNH,Female,HS_or_less,Age_65_74,5,112.5683096,115.0191483
WhiteNH,Female,HS_or_less,Age_65_74,6,137.5699519,141.4962913
WhiteNH,Female,HS_or_less,Age_65_74,7,110.1383118,114.6154742
WhiteNH,Female,HS_or_less,Age_65_74,8,111.6822491,114.6097326
WhiteNH,Female,HS_or_less,Age_65_74,9,135.812958,138.3092982
WhiteNH,Female,HS_or_less,Age_65_74,10,112.3540783,116.312975
WhiteNH,Female,HS_or_less,Age_65_74,11,137.2184047,140.2238025
WhiteNH,Female,HS_or_less,Age_65_74,12,139.9554793,150.5031191
WhiteNH,Female,HS_or_less,Age_65_74,13,136.0984821,139.5612027
WhiteNH,Female,HS_or_less,Age_65_74,14,111.50118,115.6653673
WhiteNH,Female,HS_or_less,Age_65_74,15,137.6912472,143.1749956
WhiteNH,Female,HS_or_less,Age_65_74,16,135.8669101,149.1388804
WhiteNH,Female,some_coll_,Age_65_74,1,110.255363,112.0003856
WhiteNH,Female,some_coll_,Age_65_74,2,110.0489719,113.33572
WhiteNH,Female,some_coll_,Age_65_74,3,135.4027483,137.2723776
WhiteNH,Female,some_coll_,Age_65_74,4,110.6182359,113.323564
WhiteNH,Female,some_coll_,Age_65_74,5,111.5393854,113.8106141
WhiteNH,Female,some_coll_,Age_65_74,6,136.5986784,140.2301065
WhiteNH,Female,some_coll_,Age_65_74,7,108.9218903,113.5944373
WhiteNH,Female,some_coll_,Age_65_74,8,110.4404276,113.6140956
WhiteNH,Female,some_coll_,Age_65_74,9,134.7537183,137.1310795
WhiteNH,Female,some_coll_,Age_65_74,10,111.2635586,115.1660363
WhiteNH,Female,some_coll_,Age_65_74,11,136.1167769,139.087972
WhiteNH,Female,some_coll_,Age_65_74,12,138.8063186,149.4148214
WhiteNH,Female,some_coll_,Age_65_74,13,134.973146,138.4490804
WhiteNH,Female,some_coll_,Age_65_74,14,110.3210367,114.6080522
WhiteNH,Female,some_coll_,Age_65_74,15,136.4338459,142.1949384
WhiteNH,Female,some_coll_,Age_65_74,16,134.7091644,148.0591676
WhiteNH,Female,HS_or_less,Age_75_,1,114.7816995,117.3769419
WhiteNH,Female,HS_or_less,Age_75_,2,114.6637091,118.6238756
WhiteNH,Female,HS_or_less,Age_75_,3,139.8783374,142.6996812
WhiteNH,Female,HS_or_less,Age_75_,4,115.3745763,118.4701164
WhiteNH,Female,HS_or_less,Age_75_,5,116.2493935,119.0034988
WhiteNH,Female,HS_or_less,Age_75_,6,141.3994836,145.332194
WhiteNH,Female,HS_or_less,Age_75_,7,114.1322997,118.2869206
WhiteNH,Female,HS_or_less,Age_75_,8,115.2803761,118.6770399
WhiteNH,Female,HS_or_less,Age_75_,9,139.5835271,142.2041635
WhiteNH,Female,HS_or_less,Age_75_,10,116.065358,120.2671297
WhiteNH,Female,HS_or_less,Age_75_,11,140.6495201,144.4581215
WhiteNH,Female,HS_or_less,Age_75_,12,143.4135833,154.7104494
WhiteNH,Female,HS_or_less,Age_75_,13,139.9675286,143.3575906
WhiteNH,Female,HS_or_less,Age_75_,14,115.1275077,119.7044739
WhiteNH,Female,HS_or_less,Age_75_,15,141.4432248,147.0884523
WhiteNH,Female,HS_or_less,Age_75_,16,139.7329176,152.9383072
WhiteNH,Female,some_coll_,Age_75_,1,113.6168246,116.3043584
WhiteNH,Female,some_coll_,Age_75_,2,113.3880453,117.662081
WhiteNH,Female,some_coll_,Age_75_,3,138.7503914,141.5901688
WhiteNH,Female,some_coll_,Age_75_,4,114.0862434,117.5209909
WhiteNH,Female,some_coll_,Age_75_,5,115.1217144,117.8937195
WhiteNH,Female,some_coll_,Age_75_,6,140.3640014,144.1302179
WhiteNH,Female,some_coll_,Age_75_,7,112.8550571,117.3267049
WhiteNH,Female,some_coll_,Age_75_,8,113.9900603,117.7298973
WhiteNH,Female,some_coll_,Age_75_,9,138.4302264,141.1200058
WhiteNH,Female,some_coll_,Age_75_,10,114.9168809,119.1781484
WhiteNH,Female,some_coll_,Age_75_,11,139.4826523,143.3875309
WhiteNH,Female,some_coll_,Age_75_,12,142.2456153,153.640959
WhiteNH,Female,some_coll_,Age_75_,13,138.7738549,142.3138059
WhiteNH,Female,some_coll_,Age_75_,14,113.9028038,118.6917195
WhiteNH,Female,some_coll_,Age_75_,15,140.1498468,146.1443719
WhiteNH,Female,some_coll_,Age_75_,16,138.5571769,151.8765895
WhiteNH,Male,HS_or_less,Age_35_44,1,106.4660269,108.2968312
WhiteNH,Male,HS_or_less,Age_35_44,2,106.4453887,109.4464128
WhiteNH,Male,HS_or_less,Age_35_44,3,131.4146306,133.7676049
