Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
8,WhiteNH,Male,Age_45_54,HS_or_less,27.8662,183.6091316,2.170006055,36.29874933,0.446274885,109.0235112,0.681377919,1
9,WhiteNH,Male,Age_45_54,HS_or_less,64.7925,185.5583243,1.306516883,37.21349008,0.411152393,132.9386485,0.49654748,0
10,WhiteNH,Male,Age_45_54,HS_or_less,16.634,264.4660629,2.584371588,37.47292135,0.7693361,110.211047,0.96860318,0
11,WhiteNH,Male,Age_45_54,HS_or_less,9.7164,270.7790543,2.288405257,67.05460162,1.380550146,134.598624,0.818214247,0
12,WhiteNH,Male,Age_45_54,HS_or_less,11.4932,268.4292497,4.453325303,65.97770545,2.279539323,141.1068196,2.626156974,1
13,WhiteNH,Male,Age_45_54,HS_or_less,35.1968,186.5843817,2.086554368,36.07823736,0.37665116,133.7073628,0.824567631,1
14,WhiteNH,Male,Age_45_54,HS_or_less,6.60517,270.8270068,3.413570164,36.48983039,1.161904029,109.460794,0.997629625,1
15,WhiteNH,Male,Age_45_54,HS_or_less,17.3017,274.0226004,4.045184324,37.03876361,0.614910085,136.3106417,1.19874609,0
16,WhiteNH,Male,Age_45_54,HS_or_less,13.7899,276.8488242,3.901364665,36.72412766,1.115690862,138.3804156,3.265719472,1
1,WhiteNH,Male,Age_45_54,some_coll_,118.281,191.2168683,1.262033285,63.41942208,0.561586652,107.0053947,0.425200722,0
2,WhiteNH,Male,Age_45_54,some_coll_,9.27333,191.6586508,2.382953694,63.60042105,1.105640724,107.5698663,0.802718748,1
3,WhiteNH,Male,Age_45_54,some_coll_,74.6832,196.5255727,1.20093692,62.44722898,0.690620701,132.2150833,0.54097857,0
4,WhiteNH,Male,Age_45_54,some_coll_,18.7496,263.0053379,2.274961172,66.55041953,1.458560352,107.8484203,0.683324174,0
5,WhiteNH,Male,Age_45_54,some_coll_,163.019,178.8724176,1.37268492,39.81838024,0.391931397,108.5525201,0.345153693,0
6,WhiteNH,Male,Age_45_54,some_coll_,18.7159,193.8798985,2.002043559,65.17207221,1.100611128,134.2919128,0.740959091,1
7,WhiteNH,Male,Age_45_54,some_coll_,1.12245,262.0287263,3.422618768,65.56575924,1.998500809,107.1356842,1.059482019,1
8,WhiteNH,Male,Age_45_54,some_coll_,18.1338,183.906989,2.229632128,38.09507027,0.425112607,107.904782,0.742199989,1
9,WhiteNH,Male,Age_45_54,some_coll_,194.445,185.8561817,1.259336178,39.00981102,0.365324372,131.8199193,0.450345252,0
10,WhiteNH,Male,Age_45_54,some_coll_,18.366,264.7639203,2.713080175,39.26924229,0.751483308,109.0923178,0.950251941,0
11,WhiteNH,Male,Age_45_54,some_coll_,41.2836,271.0769117,2.296474032,68.85092256,1.348313852,133.4798948,0.805748599,0
12,WhiteNH,Male,Age_45_54,some_coll_,2.50677,268.7271071,4.483781687,67.77402639,2.294005249,139.9880904,2.640050053,1
13,WhiteNH,Male,Age_45_54,some_coll_,40.8032,186.8822391,2.005463801,37.8745583,0.369240833,132.5886336,0.823532077,1
14,WhiteNH,Male,Age_45_54,some_coll_,1.39483,271.1248642,3.426843481,38.28615133,1.143334301,108.3420648,1.026062402,1
15,WhiteNH,Male,Age_45_54,some_coll_,36.6983,274.3204577,4.322174783,38.83508455,0.596225416,135.1919125,1.274671588,0
16,WhiteNH,Male,Age_45_54,some_coll_,4.21009,277.1466816,3.979403296,38.5204486,1.172039875,137.2616864,3.284437503,1
1,WhiteNH,Male,Age_55_64,HS_or_less,15.4529,188.1573353,1.387381854,62.7571313,0.617169718,110.1029311,0.428037482,0
2,WhiteNH,Male,Age_55_64,HS_or_less,13.139,188.5991178,2.265088459,62.93813027,1.153607852,110.6674028,0.7455695,1
3,WhiteNH,Male,Age_55_64,HS_or_less,51.7473,193.4660396,1.460026306,61.78493819,0.699107779,135.3126198,0.579309045,0
4,WhiteNH,Male,Age_55_64,HS_or_less,4.30753,259.9458049,2.193482379,65.88812875,1.508127098,110.9459568,0.545469093,0
5,WhiteNH,Male,Age_55_64,HS_or_less,44.2315,175.8128845,1.544729515,39.15608945,0.513140978,111.6500566,0.458863133,0
6,WhiteNH,Male,Age_55_64,HS_or_less,23.0094,190.8203655,2.24236768,64.50978143,1.022383003,137.3894493,0.921788075,1
7,WhiteNH,Male,Age_55_64,HS_or_less,3.28649,258.9691933,3.459010462,64.90346846,1.940611007,110.2332206,0.967409297,1
8,WhiteNH,Male,Age_55_64,HS_or_less,16.2876,180.847456,2.309496917,37.43277948,0.495034463,111.0023185,0.622040451,1
9,WhiteNH,Male,Age_55_64,HS_or_less,98.5694,182.7966487,1.408909299,38.34752023,0.40487163,134.9174558,0.498111646,0
10,WhiteNH,Male,Age_55_64,HS_or_less,5.66305,261.7043873,2.654372624,38.6069515,0.823921654,112.1898543,0.8816818,0
11,WhiteNH,Male,Age_55_64,HS_or_less,16.8772,268.0173787,2.167523446,68.18863178,1.488800774,136.5774313,0.797976224,0
12,WhiteNH,Male,Age_55_64,HS_or_less,7.19744,265.6675741,4.137132234,67.11173561,2.289896547,143.0856268,2.658359811,1
13,WhiteNH,Male,Age_55_64,HS_or_less,34.169,183.8227061,2.026996287,37.21226752,0.522108136,135.68617,0.826090456,1
14,WhiteNH,Male,Age_55_64,HS_or_less,0.807037,268.0653311,3.898889343,37.62386054,1.081852465,111.4396013,0.953084185,1
15,WhiteNH,Male,Age_55_64,HS_or_less,11.3195,271.2609247,3.95471177,38.17279376,0.62459514,138.289449,1.243327304,0
16,WhiteNH,Male,Age_55_64,HS_or_less,13.3823,274.0871485,3.637518329,37.85815781,1.077472572,140.3592229,3.320523442,1
1,WhiteNH,Male,Age_55_64,some_coll_,72.5471,188.4551927,1.42204139,64.55345224,0.624144878,108.9842019,0.373487498,0
2,WhiteNH,Male,Age_55_64,some_coll_,16.1833,188.8969752,2.265708329,64.73445121,1.145183031,109.5486736,0.802137916,1
3,WhiteNH,Male,Age_55_64,some_coll_,142.253,193.763897,1.442473639,63.58125913,0.70942836,134.1938906,0.517577069,0
4,WhiteNH,Male,Age_55_64,some_coll_,9.86969,260.2436623,2.319757888,67.68444969,1.556085682,109.8272276,0.601635836,0
5,WhiteNH,Male,Age_55_64,some_coll_,135.006,176.1107419,1.563271617,40.95241039,0.478228177,110.5313274,0.377494318,0
6,WhiteNH,Male,Age_55_64,some_coll_,30.9906,191.1182228,2.276464468,66.30610236,1.057624393,136.2707201,0.833786638,1
7,WhiteNH,Male,Age_55_64,some_coll_,0.713513,259.2670507,3.37282838,66.69978939,1.953857919,109.1144914,1.016287965,1
8,WhiteNH,Male,Age_55_64,some_coll_,22.7124,181.1453134,2.372657755,39.22910042,0.498805345,109.8835893,0.682648281,1
9,WhiteNH,Male,Age_55_64,some_coll_,183.689,183.0945061,1.377447758,40.14384117,0.387975311,133.7987265,0.443684636,0
10,WhiteNH,Male,Age_55_64,some_coll_,8.33695,262.0022447,2.785842283,40.40327244,0.820904512,111.0711251,0.857110743,0
11,WhiteNH,Male,Age_55_64,some_coll_,42.1228,268.3152361,2.18370051,69.98495272,1.466542695,135.4587021,0.780392019,0
12,WhiteNH,Male,Age_55_64,some_coll_,6.80256,265.9654315,4.173901143,68.90805654,2.30910696,141.9668976,2.67067971,1
13,WhiteNH,Male,Age_55_64,some_coll_,34.831,184.1205635,1.951995272,39.00858846,0.537826925,134.5674408,0.820492623,1
14,WhiteNH,Male,Age_55_64,some_coll_,1.19296,268.3631885,3.91478336,39.42018148,1.072280423,110.3208721,0.978978063,1
15,WhiteNH,Male,Age_55_64,some_coll_,34.6805,271.5587821,4.241558616,39.9691147,0.624241637,137.1707198,1.313829385,0
16,WhiteNH,Male,Age_55_64,some_coll_,5.61774,274.3850059,3.725579096,39.65447875,1.145446075,139.2404937,3.337809367,1
1,WhiteNH,Male,Age_65_74,HS_or_less,23.9324,180.797047,1.391335989,63.1411509,0.719561293,112.4439174,0.470630741,0
2,WhiteNH,Male,Age_65_74,HS_or_less,7.35822,181.2388294,2.520121395,63.32214987,1.19526855,113.008389,0.832475868,1
3,WhiteNH,Male,Age_65_74,HS_or_less,42.5097,186.1057513,1.326122024,62.16895779,0.675279705,137.653606,0.538368109,0
4,WhiteNH,Male,Age_65_74,HS_or_less,0.970794,252.5855166,2.251846419,66.27214835,1.549269431,113.286943,0.692598087,0
5,WhiteNH,Male,Age_65_74,HS_or_less,36.4198,168.4525962,1.4382854,39.54010905,0.541953948,113.9910428,0.543392306,0
6,WhiteNH,Male,Age_65_74,HS_or_less,8.22739,183.4600771,2.17297767,64.89380102,1.156213497,139.7304355,0.936592272,1
7,WhiteNH,Male,Age_65_74,HS_or_less,0,251.608905,3.759017859,65.28748805,2.035891677,112.5742069,1.126864021,1
8,WhiteNH,Male,Age_65_74,HS_or_less,13.1684,173.4871677,2.528678313,37.81679908,0.516644658,113.3433047,0.77467474,1
9,WhiteNH,Male,Age_65_74,HS_or_less,73.1417,175.4363603,1.410367901,38.73153983,0.477152474,137.258442,0.625960332,0
10,WhiteNH,Male,Age_65_74,HS_or_less,4.03206,254.344099,2.688559859,38.9909711,0.862919234,114.5308405,0.987017749,0
11,WhiteNH,Male,Age_65_74,HS_or_less,6.5952,260.6570904,2.164390589,68.57265138,1.639324112,138.9184175,0.826253338,0
12,WhiteNH,Male,Age_65_74,HS_or_less,0.514103,258.3072857,4.654544873,67.49575521,2.465503939,145.4266131,2.634816706,1
13,WhiteNH,Male,Age_65_74,HS_or_less,8.79975,176.4624178,2.069982282,37.59628712,0.576325839,138.0271563,0.866822768,1
14,WhiteNH,Male,Age_65_74,HS_or_less,0,260.7050428,3.487675902,38.00788014,1.136241954,113.7805875,1.058111207,1
